%SECTION%1%;General;
%FIELDS%;separation_distance_on_ground;
%DESCRIPTION%;[m];
;60;
%SECTION%1%;Nodes;
%FIELDS%;node_id;x;y;lat;lon;name;specification;
%DESCRIPTION%;ID;x-coordination;y-coordination;latitude;longitude;name;{'', gate, runway, holding_point, intermediate};
;1;548596.7161603612;5912388.1455845;53.35839;-2.2698023;;intermediate;
;2;548691.5247169995;5912549.015477575;53.3598272;-2.2683531;;intermediate;
;3;548574.0018249368;5912379.468906426;53.3583141;-2.2701449;;intermediate;
;4;548466.5003692183;5912358.155799896;53.3581324;-2.2717633;;intermediate;
;5;548687.1847912144;5912542.562571408;53.3597696;-2.2684193;;intermediate;
;6;548622.7203743196;5912401.183951624;53.3585048;-2.2694096;;intermediate;
;7;548395.6201049038;5912350.457583997;53.3580697;-2.2728294;;intermediate;
;8;548765.706178593;5912531.0960332565;53.3596593;-2.2672413;;intermediate;
;9;548682.6724273625;5912455.490659044;53.3589874;-2.2685005;;intermediate;
;10;548684.6426401468;5912463.276622589;53.3590572;-2.2684697;;intermediate;
;11;548473.0372930267;5912350.245312678;53.3580607;-2.2716663;;intermediate;
;12;548684.7869465267;5912534.293816333;53.3596955;-2.2684566;;intermediate;
;13;548615.0780489559;5912396.766717895;53.3584658;-2.2695251;;intermediate;
;14;548401.532083338;5912358.150056465;53.3581383;-2.2727394;;intermediate;
;15;548685.5223356182;5912479.4068584535;53.3592021;-2.268454;;intermediate;
;16;548583.6912828612;5912384.174019775;53.3583555;-2.2699986;;intermediate;
;17;548407.5266035085;5912363.618228345;53.3581869;-2.2726485;;intermediate;
;18;548675.4008753466;5912444.779945659;53.3588918;-2.2686114;;intermediate;
;19;548762.7978203539;5912539.51064046;53.3597352;-2.2672837;;intermediate;
;20;548607.4397474779;5912392.6054302;53.3584291;-2.2696405;;intermediate;
;21;548685.7875043354;5912471.065256769;53.3591271;-2.2684513;;intermediate;
;22;548564.5848612587;5912373.498262254;53.3582613;-2.2702873;;intermediate;
;23;548678.8421081759;5912449.310001951;53.3589322;-2.268559;;intermediate;
;24;547899.699633887;5913114.488213139;53.3649821;-2.2801645;;intermediate;
;25;547877.181974571;5912906.232202237;53.3631123;-2.2805344;;intermediate;
;26;547894.4076031613;5912933.085327403;53.3633521;-2.2802715;;intermediate;
;27;548177.4425346375;5912213.563644246;53.3568592;-2.2761282;;intermediate;
